game,loss_red,loss_blue,win_rate,weights_red,weights_blue
15,14845.583984375,14757.30078125,,"[0.6577777061310517, 0.3464069813633807, 0.7619088373960273, 0.2938168443285732]","[0.06826864410781099, 0.6650863682750329, 0.7252082170299289, 0.3535097991793602]"
16,20358.84765625,21270.298828125,,"[0.6440985245167519, 0.40401710938823315, 0.7266136239830849, 0.31747949907800316]","[0.1378594082659204, 0.5951374518355471, 0.7517847461015317, 0.37643648621411085]"
17,9544.7919921875,9853.01171875,,"[0.6528615502105128, 0.4012228678427006, 0.7516890305955449, 0.3298584555812614]","[0.11964583685060018, 0.6595226803218854, 0.7013082196055641, 0.3402093928194178]"
18,15556.0126953125,16531.7734375,,"[0.6335665807545825, 0.2915381047495143, 0.6679439162439796, 0.31944083632521]","[0.15779798492388272, 0.6300512840429217, 0.7858400323152579, 0.40353445208507144]"
19,10864.8369140625,11134.435546875,,"[0.6661074716373577, 0.3699265027012017, 0.7242823203167985, 0.2937688139089443]","[0.11775644367964594, 0.5509278938818717, 0.7406595378469891, 0.38137406372802596]"
20,6646.40234375,6735.80224609375,,"[0.5968663442077291, 0.27300581562905557, 0.7189232058959147, 0.26307474876774467]","[0.13478880064968501, 0.6942714556866755, 0.756815315223305, 0.3198059676794513]"
21,-7104.9658203125,-7159.07763671875,,"[0.6581496455477478, 0.3495858314907823, 0.7198794651453986, 0.26891092636220054]","[0.11807203622146181, 0.6309855452410159, 0.7102028204489867, 0.29592782211943663]"
22,-10218.7900390625,-10395.7470703125,,"[0.6654851395685445, 0.3134481519982478, 0.745019513748554, 0.4109621038979279]","[0.08167312886038966, 0.6290246674586589, 0.8125399100025262, 0.28436575176566836]"
23,11010.5380859375,11633.6337890625,,"[0.6365228567539761, 0.336113227204977, 0.6852869053565964, 0.2243215708381068]","[0.12098574525219795, 0.5743646092878641, 0.677019927848593, 0.3106002791435853]"
24,-3438.412841796875,-3354.749755859375,,"[0.5988662661228036, 0.3624189865960423, 0.7722147715780748, 0.2384312076908306]","[0.141328076713077, 0.6306492244116415, 0.7185383374019968, 0.29325311083792927]"
25,7394.98974609375,7712.20556640625,,"[0.6880853552663116, 0.3158228138435488, 0.672644954862016, 0.24887077975054325]","[0.1612867610393276, 0.6278997453562538, 0.7256341237030077, 0.35270025140763683]"
26,23806.005859375,24664.64453125,,"[0.6636273602920719, 0.33554429538541136, 0.7661682812792259, 0.2792487494146835]","[0.08864121740125948, 0.5527867618546287, 0.8329847676460354, 0.35354043642634353]"
27,4081.58740234375,4030.232177734375,,"[0.6759276351227808, 0.3462663682208196, 0.7369055562035054, 0.3090001374613166]","[0.14110027291909882, 0.5604738669981434, 0.7502980161404258, 0.3546964372871434]"
28,-10669.08984375,-10566.939453125,,"[0.6487087755473081, 0.3306077490875341, 0.6894000181522557, 0.3163567048994017]","[0.13699977023475357, 0.616339295318429, 0.7033566957468323, 0.2938520298276674]"
29,-17367.5625,-16957.83984375,,"[0.6838944199749631, 0.37490781317158495, 0.6660117874706484, 0.27383482965221606]","[0.07400755906132056, 0.6081804508774369, 0.6892232711957403, 0.4013931777423926]"
30,9507.4599609375,9698.7314453125,,"[0.6330414695830902, 0.38873472336463827, 0.8047854419157591, 0.3336604043641208]","[0.13729082650639018, 0.584912186208256, 0.7295147153082672, 0.35763775402876696]"
31,-5353.4775390625,-5298.1474609375,,"[0.5388992113954543, 0.339540531864581, 0.7271455765891504, 0.3257105982094022]","[0.09594348538715156, 0.628704287714068, 0.66410824121434, 0.3748338063516446]"
32,-9115.9580078125,-9037.5712890625,,"[0.6741917324268408, 0.3411383535505323, 0.6817627462716384, 0.2872644839407001]","[0.06977478188153949, 0.6307555471558572, 0.7201755944394476, 0.3976025609528345]"
33,-15835.2470703125,-15685.92578125,,"[0.6456802928146264, 0.2814306469120834, 0.7245243267802358, 0.21056394706657405]","[0.1603687516889495, 0.6344167216830462, 0.7682004135947393, 0.2579446767779076]"
34,-29265.326171875,-28963.013671875,,"[0.6089407180627681, 0.31073115354789, 0.742420892421347, 0.30620177878348825]","[0.2025814747502499, 0.5925041808429908, 0.7541855017034342, 0.3075336521437378]"
35,-38227.5390625,-37828.765625,,"[0.6151231323425237, 0.1978053382149525, 0.7616818331252495, 0.26026533172301414]","[0.1202380429462407, 0.6932470452923614, 0.7763839756075687, 0.3284212637432803]"
36,-50432.09375,-49910.15625,,"[0.6180872545545503, 0.31377908476745026, 0.7380023627401839, 0.27769676773143526]","[0.04451598599668992, 0.5691483480329941, 0.7684428279625316, 0.26862242002158704]"
37,-54609.890625,-54065.125,,"[0.6077522171324835, 0.2617668332658574, 0.7344843030824671, 0.2524752301220273]","[0.08733409685546159, 0.6438673820329617, 0.7689149891348039, 0.32851939630040244]"
38,-73485.2109375,-72608.3671875,,"[0.6451785034748969, 0.27392622355145946, 0.6750265851805293, 0.30272996823073944]","[0.1553142092065505, 0.6073210483948098, 0.7008307653950598, 0.2589106172396367]"
39,-54643.8984375,-55721.42578125,,"[0.6322967227202544, 0.327142801285359, 0.7584040342651193, 0.2976790059564556]","[0.20360182690836137, 0.5464374323503025, 0.8103814358388629, 0.34031682671995256]"
40,-62144.8046875,-61504.171875,,"[0.660307183925148, 0.3640508749484301, 0.7123473524202988, 0.2613523328628612]","[0.06972267964972334, 0.6199696518663123, 0.778367882604724, 0.3681086508720734]"
41,-62507.2109375,-61915.078125,,"[0.6457157867822064, 0.37139363235671446, 0.6666177117162707, 0.31018877015761476]","[0.011764333257797285, 0.6618833907467139, 0.765575088287526, 0.2918139733922147]"
42,-74134.7890625,-73295.1171875,,"[0.7574603476021015, 0.33972288028233194, 0.6539087553758699, 0.22929030352665636]","[0.1561376245595826, 0.6177426896081849, 0.8513488137432377, 0.3529829541935792]"
43,-66139.6015625,-67429.6328125,,"[0.6336680824843037, 0.3721463189972317, 0.7887105321190749, 0.33601324450729025]","[0.06947482324951879, 0.5762460933776632, 0.8322641519809959, 0.3393031968903798]"
44,-50617.3671875,-51596.828125,,"[0.6709136305799132, 0.42578732259815577, 0.7274677117209004, 0.35129487060395453]","[0.12970760342342974, 0.5900870931044038, 0.7319115569198205, 0.34130860008662467]"
45,-55541.89453125,-54973.60546875,,"[0.588902054195615, 0.24382336997517434, 0.7593141235770332, 0.2717622096196248]","[0.06818627071381755, 0.6374754060092069, 0.7898984617782046, 0.372215423486185]"
46,-22288.5859375,-22716.111328125,,"[0.73015641764599, 0.4021057837784558, 0.6682329178004418, 0.24283723744618252]","[0.14023351064519304, 0.5004946022424422, 0.6766676317845738, 0.328813779524301]"
47,-45754.5078125,-45190.375,,"[0.6992431054944752, 0.3144611386150809, 0.7610182066495702, 0.23553488164484915]","[0.1271278384050223, 0.5777119952609008, 0.7715931132200801, 0.24315059440698422]"
48,12678.8662109375,12917.640625,,"[0.6650691201330035, 0.3636623289204173, 0.7132843309157435, 0.2477827454019037]","[0.11107028711831991, 0.6599306659352504, 0.6962300390086428, 0.37531885311222524]"
49,-85.7333984375,-84.74290466308594,,"[0.6838592956359628, 0.26112214854444227, 0.7440877822537033, 0.2483922734311867]","[0.1189574470155144, 0.6444061805038183, 0.7380829881933944, 0.2898588125498314]"
50,-9349.1650390625,-9248.4111328125,0.639999999872,"[0.6493936106662942, 0.40543411206833346, 0.7627640667574692, 0.27058921978045447]","[0.09152610236386008, 0.5830484172886972, 0.7242171466427295, 0.3385877128736301]"
51,-33883.75390625,-33437.10546875,,"[0.6553977312468834, 0.47401876037134055, 0.7260739146451533, 0.27258212401039034]","[0.03760156712516512, 0.6239710577324429, 0.7064384180651057, 0.32828290485260053]"
52,-18188.515625,-18526.396484375,,"[0.6770280253879887, 0.2819159528277125, 0.7187157841707784, 0.31823726671502517]","[0.17351104982714133, 0.6091333190676647, 0.7094453676332964, 0.30026868381670807]"
53,-30601.3125,-30236.13671875,,"[0.6340296071608789, 0.34542225326675013, 0.8306012889732971, 0.31827009688741387]","[0.07988825604838816, 0.6239859446181609, 0.8440239979250421, 0.3347940594165909]"
54,-62076.20703125,-61236.1875,,"[0.5711901770556511, 0.30784815642042257, 0.8150382791118711, 0.29263355963526627]","[0.28331341634363383, 0.5840854972600121, 0.8284201391447271, 0.2952452388460727]"
55,-33923.08984375,-34542.4375,,"[0.7048704316096721, 0.27143027651793505, 0.6946454492497119, 0.24493909254687196]","[0.21203863005305967, 0.7101734293109059, 0.7079939169932425, 0.30024411682936125]"
56,-27899.787109375,-28406.34375,,"[0.6247140801072433, 0.3693428035814177, 0.8222888463236991, 0.3417269313206795]","[0.13835855286804571, 0.6589131297762719, 0.6847601779386894, 0.2735397785026638]"
57,-39819.3359375,-39347.22265625,,"[0.6758302262909955, 0.4172787120761276, 0.8207988131673933, 0.3104983505425292]","[0.11495439733251621, 0.6081639623586255, 0.8403996505693341, 0.3003560266833139]"
58,-26362.9140625,-26833.7734375,,"[0.7214715988443149, 0.3603110164243662, 0.7493652540202581, 0.2688529286382177]","[0.16391639429457028, 0.7200088686833159, 0.7081104578818586, 0.361426476317095]"
59,-42914.89453125,-42375.4453125,,"[0.6495359760816836, 0.36716796588284045, 0.874207679139176, 0.3355540850351154]","[0.12805622949050408, 0.5518616502826457, 0.8085987739887996, 0.3080187972492176]"
60,-65114.3515625,-64194.66015625,,"[0.7014314607358003, 0.3398320316825441, 0.7308606680606952, 0.3268990085832743]","[0.19475480131406944, 0.555222141165324, 0.8027063507710333, 0.3308180090917735]"
61,-69707.3671875,-68907.171875,,"[0.6951087663582496, 0.3629274272738859, 0.7445891218578479, 0.22998273559634208]","[0.10632181807201309, 0.575351537731858, 0.7290393517458035, 0.3695249681207932]"
62,-68361.1796875,-67565.7578125,,"[0.670317978204948, 0.34853074078592666, 0.8098997772037531, 0.24888229991478478]","[0.10423052849283018, 0.559825318689869, 0.7270358135358297, 0.3165169034304697]"
63,-70314.625,-69430.171875,,"[0.6652830620780168, 0.3529676956181011, 0.6919276756970766, 0.2471644998755591]","[0.10935107650042392, 0.5962222832431351, 0.8264494385064368, 0.2982574578005009]"
64,-85336.7578125,-84284.5390625,,"[0.7184600604797965, 0.39600249171178464, 0.809778368400201, 0.35943909512195615]","[0.08049962480339905, 0.5706907760221235, 0.7539261074114288, 0.32484162071752554]"
65,-72133.71875,-73360.28125,,"[0.64928273683504, 0.4146178133169621, 0.7217290670307576, 0.2619963226093413]","[0.11239660862275352, 0.651903812405132, 0.8304541600400533, 0.29446533399822383]"
66,-87582.25,-86359.921875,,"[0.6948281299225546, 0.3656609368773546, 0.7540907436111941, 0.24269963925790497]","[0.13745743999841595, 0.5875147124016896, 0.8388600399777065, 0.3754926992493246]"
67,-111202.1796875,-109528.9296875,,"[0.5861394854205778, 0.3253790561230968, 0.724625439292085, 0.3377904425931418]","[0.07932354885008497, 0.5238172205202204, 0.7359495122736354, 0.3161012198595767]"
68,-140562.59375,-138300.140625,,"[0.5692787832955852, 0.31604849536888735, 0.7887932208513476, 0.34301203712752115]","[0.17997070967767081, 0.5678208932524867, 0.7308052791445505, 0.34908018035948507]"
69,-155999.640625,-153773.03125,,"[0.6386764322108953, 0.3593196881388894, 0.7446639927951128, 0.21278973579078322]","[0.14874191221738264, 0.618522374381218, 0.8032645613705051, 0.3199639761317502]"
70,-166948.8125,-164368.4375,,"[0.599814070464654, 0.38635718190242613, 0.755891594826544, 0.32277580215855056]","[0.12275124504106952, 0.5688992251065214, 0.7858435148098895, 0.31678835396412974]"
71,-159932.546875,-162546.03125,,"[0.6427092036698249, 0.3557029099121751, 0.7963519327938562, 0.24460396397407944]","[0.04085927972805378, 0.6238432576964534, 0.8615293663595718, 0.31705635854186787]"
72,-157394.671875,-155085.078125,,"[0.595023990947508, 0.3186119976473052, 0.8151101271443822, 0.23325700116658235]","[0.16433910384638914, 0.5799339354208218, 0.8169872714561388, 0.34476432797679246]"
73,-141452.140625,-143716.15625,,"[0.6494045752538296, 0.29599263688256855, 0.7675379673731859, 0.3685229208709413]","[0.04870645878136866, 0.6083731098202249, 0.7849650400905699, 0.37127600203401917]"
74,-117222.3359375,-119091.390625,,"[0.6797989293008686, 0.3424141177259698, 0.7765201287598874, 0.2614721317995064]","[0.08142788856546632, 0.6373949695443665, 0.7433559413211248, 0.31830963030403053]"
75,-126127.3828125,-124297.5625,,"[0.6962706217198928, 0.3455844113946899, 0.7852391972045473, 0.21328254002873134]","[0.13643341942245643, 0.5805964892963462, 0.781687378563903, 0.25530425516441885]"
76,-135862.515625,-133869.203125,,"[0.651121828598844, 0.3860662344698682, 0.6988236193264581, 0.2774021192045901]","[0.2180216953511567, 0.532044383260383, 0.8410071643253748, 0.3607999477734121]"
77,-143520.03125,-141534.34375,,"[0.6002115628430374, 0.3543487765900849, 0.6963078181915607, 0.2906952231401548]","[0.12521653675036468, 0.6395082411678151, 0.8871057762616874, 0.31755292896107945]"
78,-141202.109375,-139227.734375,,"[0.611345622194162, 0.2569936626521466, 0.7818506175224289, 0.23687188265640405]","[0.13910486134539296, 0.5139051095391045, 0.8760929702923993, 0.31129454054151395]"
79,-139152.34375,-137180.28125,,"[0.626480702099715, 0.34991399238833354, 0.7938996661288145, 0.24922587398927504]","[0.14281559754481832, 0.5675217595238681, 0.9278596840422075, 0.3908670121444486]"
80,-135479.546875,-133667.71875,,"[0.6773516247067424, 0.3524515344789847, 0.8433462773593433, 0.22830257058860684]","[0.0844394948644632, 0.6008381485707129, 0.8415404839184291, 0.2668771123300261]"
81,-134393.5,-132402.703125,,"[0.6796545228515474, 0.37677643653225895, 0.7717445578235815, 0.1793003473603279]","[0.12996135157590746, 0.6462078587258977, 0.7875438800575649, 0.32323864357629367]"
82,-117625.90625,-119378.34375,,"[0.6718868569027951, 0.33235922706198684, 0.7902270753806694, 0.3801219925679715]","[0.009650579160146111, 0.612395406080228, 0.862212723537, 0.3569893506022397]"
83,-93440.5234375,-94815.546875,,"[0.675274953447153, 0.3372924495919242, 0.7169007735593693, 0.20996675798632888]","[0.16978429290909144, 0.6171938194197029, 0.8226719680404528, 0.2903829827695876]"
84,-104381.734375,-102696.734375,,"[0.6767158430564169, 0.2727817622195403, 0.8112292550088372, 0.3633341464336561]","[0.13008929624299917, 0.6572955850028461, 0.8574575116725138, 0.35228963373268385]"
85,-92869.3984375,-94220.296875,,"[0.5715782807075233, 0.3224235060420717, 0.7796527873017749, 0.26043139261075593]","[0.09062129703572144, 0.6226274067345289, 0.79650015604214, 0.3105289539520414]"
86,-125153.8046875,-122925.171875,,"[0.5895393329023646, 0.3799670497755203, 0.8143336006274015, 0.3272779848957231]","[0.19684876683277266, 0.5169715011821858, 0.9027864785692815, 0.36134067518921986]"
87,-95934.203125,-97307.171875,,"[0.6347428161785522, 0.31522604469630255, 0.7927253455195918, 0.3252260697133345]","[0.1321246011308503, 0.5442432872775497, 0.8584473720807844, 0.24434737538071694]"
88,-130665.03125,-128093.3671875,,"[0.6768071473498574, 0.2342146645973162, 0.8001645053383516, 0.3034562539082944]","[0.05479692889862542, 0.600529809098158, 0.8443508744549564, 0.40505013695943426]"
89,-60938.16796875,-61795.515625,,"[0.7548004781635126, 0.4683147044922318, 0.8309275603021195, 0.30481209181787167]","[0.056953109034528056, 0.6433670573359593, 0.7383793186027707, 0.2880101989851977]"
90,-95150.609375,-92099.515625,,"[0.6470938350805056, 0.3662713477660416, 0.7638855501619782, 0.2995979361842754]","[0.1650533997394207, 0.6142631374491628, 0.780673165278152, 0.3506231740047729]"
91,-110814.671875,-108990.703125,,"[0.6186811154389235, 0.34810952405131634, 0.8391844389346939, 0.32906855604477475]","[0.09969279093925379, 0.651355032867176, 0.8717290741864254, 0.27957684079581824]"
92,-110872.609375,-109192.6875,,"[0.6812095403033608, 0.3422119972853172, 0.7969256765111356, 0.25156959187473166]","[0.1728861893255386, 0.5632171590882082, 0.8564625102605168, 0.35391545007707076]"
93,-132648.53125,-130121.3984375,,"[0.6218673980544739, 0.37044950464118187, 0.8522991492173292, 0.3509413783312226]","[0.09365004980019931, 0.584068029407668, 0.8610899715229908, 0.34425542973857365]"
94,-149682.09375,-147257.953125,,"[0.6603664601447312, 0.3476194960116624, 0.8421805767427398, 0.3393391680054751]","[0.09851326803352822, 0.5963935866559151, 0.7838776042293601, 0.38016662545111934]"
95,-80391.3828125,-81470.7109375,,"[0.5844808606676783, 0.39402669418799574, 0.7555045253013273, 0.3156217633914085]","[0.1270521273987496, 0.6309620978981474, 0.8154740407551284, 0.29433478750663566]"
96,-21502.748046875,-21789.06640625,,"[0.6504765336545597, 0.29976457194326456, 0.8290218880812409, 0.2888715561225158]","[0.1279071097748759, 0.6349293489679827, 0.8493614154420706, 0.3921360821452394]"
97,-34057.1640625,-33504.375,,"[0.6419661857203924, 0.35270517233958254, 0.8521146176253661, 0.2958316537659537]","[0.029197832341492716, 0.6372685543883518, 0.9985230676698758, 0.272993623477542]"
98,-53330.22265625,-52393.4140625,,"[0.5974856343830475, 0.39507877753797377, 0.8384444212356212, 0.294195535306314]","[0.11965314695708515, 0.6572325368807749, 0.8341412918198953, 0.32491847426113285]"
99,-44122.703125,-44691.83203125,,"[0.6699623861488089, 0.2908966035438163, 0.7967760424323408, 0.2877689066933001]","[0.13545485613303618, 0.6146431393053408, 0.8358077000896734, 0.3751723326126525]"
100,-46183.0,-45424.0,0.659999999934,"[0.7081373849153753, 0.3068101865141912, 0.8580876556320399, 0.26747621253594256]","[0.08334105583314125, 0.6247512966976353, 0.8958411001910033, 0.3010644837506657]"
101,-60706.5703125,-59702.2109375,,"[0.6940551621415735, 0.2554521481675188, 0.8312225585819321, 0.24308878579245724]","[0.15899347361107993, 0.5845461593863365, 0.8774211258989066, 0.25067459283393373]"
102,-62105.92578125,-61101.8359375,,"[0.6049615132747178, 0.3482393591853937, 0.7583833607482026, 0.37458344015808465]","[0.06158166603076531, 0.6535782543385673, 0.853074387234453, 0.4183356995662419]"
103,-86789.28125,-85136.609375,,"[0.6643244390981505, 0.3159279224833445, 0.8732584989137467, 0.22568905895420835]","[0.056579382115689504, 0.5911665981289199, 0.8457693114305854, 0.3323680473618142]"
104,-64409.59375,-65215.46875,,"[0.6612370032210999, 0.2682461310936912, 0.7751939996242284, 0.35988237516190114]","[0.192495214189275, 0.6969417344286564, 0.7756950192027001, 0.38015444620180655]"
105,-76067.3515625,-74711.59375,,"[0.6919790226923338, 0.28688994597034895, 0.934808661287948, 0.2787704722417821]","[0.14866480337155172, 0.5872328205195284, 0.8179196554588835, 0.37920019683956496]"
106,-78362.1015625,-77062.0625,,"[0.6317983470530885, 0.340974229513049, 0.9694532840453882, 0.32557191715262845]","[0.13554608604398902, 0.6753198081398971, 0.8655441335689896, 0.37465580387939706]"
107,-86641.3671875,-85082.390625,,"[0.6509089900451317, 0.36289560585581815, 0.8443207829558637, 0.2910494338186641]","[0.08059340175427243, 0.6391657019695507, 0.8114755961795016, 0.42924674137611407]"
108,-87119.4296875,-85617.34375,,"[0.6528055503730291, 0.30482532906807325, 0.9035023377771545, 0.24033210946639502]","[0.12633962099719548, 0.6567832026757433, 0.8584261966788129, 0.36457598040937994]"
109,-108121.0390625,-106148.1171875,,"[0.6688555194112441, 0.3730243330416796, 0.8755674099055739, 0.29847419622945964]","[0.08083611816399244, 0.6175384273511282, 0.9481495542308529, 0.31954625306367535]"
110,-112052.25,-110044.8359375,,"[0.6229866156588101, 0.30099078297259235, 0.8947277371291416, 0.2874823160299881]","[0.0997769818934865, 0.5710526736839141, 0.8356346917784574, 0.35686230612188585]"
111,-131880.21875,-129260.6484375,,"[0.7218584292350878, 0.3027636232177556, 0.7946720815285399, 0.3184115776250542]","[0.011052392891551202, 0.6380796540789591, 0.8935433289727822, 0.3550364471993118]"
112,-135025.171875,-132623.765625,,"[0.631437973736865, 0.3118854196215379, 0.8523015493173184, 0.25103411395323727]","[0.038040887120062816, 0.6358107311791098, 0.8651181030383576, 0.3219827233319105]"
113,-113700.8125,-115022.890625,,"[0.6612074450718067, 0.2664507433579536, 0.8328353962695683, 0.2246567895286669]","[0.09047504171623097, 0.6415867497620436, 0.7851211632232286, 0.3567388271750994]"
114,-90907.5234375,-91952.9453125,,"[0.6078715427746565, 0.3651018333279147, 0.8731970004069951, 0.3024057146095642]","[0.07367029759929979, 0.5247224666884523, 0.7603718716663898, 0.3849439362669643]"
115,-105646.734375,-105244.0625,,"[0.6416205458072625, 0.3209532865807002, 0.8530977628129841, 0.25432327609795863]","[0.11988106289178883, 0.5783413311031244, 0.8495512459203614, 0.26864711703380556]"
116,-74779.7734375,-75622.5703125,,"[0.62416214421758, 0.36846128565008085, 0.8528919957206055, 0.24481704011535702]","[0.11998696289502234, 0.5614745247277315, 0.8521617653693737, 0.35025413250664755]"
117,-64816.546875,-65543.4921875,,"[0.651991047626848, 0.36420907817614395, 0.802551278924496, 0.34001844687198923]","[0.08438108553587062, 0.6468151698373287, 0.8072649546684831, 0.3447270895655056]"
118,-83449.0546875,-81889.3828125,,"[0.6143333435256678, 0.3074005400874787, 0.799215408343207, 0.24077843156925555]","[0.12090914242141838, 0.622866813697295, 0.9051560933974695, 0.27134691246347914]"
119,-93981.59375,-92182.71875,,"[0.6642774360189891, 0.3867199139894905, 0.9249035900580549, 0.32163090567792063]","[0.13560443469766442, 0.6197779133137097, 0.793307114380239, 0.3372350558707939]"
120,-116098.234375,-113819.8046875,,"[0.6196736626432126, 0.33371201169510417, 0.8016079815025706, 0.2811998788095597]","[0.20892921360763467, 0.6438109488211992, 0.93778997450024, 0.37451162442864105]"
121,-139573.09375,-136671.078125,,"[0.6357719029367289, 0.40250044397710244, 0.8807289727869134, 0.3352368277412603]","[0.18131864669061853, 0.5221675777206947, 0.9145726090312211, 0.3576337311598543]"
122,-144795.390625,-142171.296875,,"[0.6841551684223262, 0.3448298161104912, 0.825734920458591, 0.19157580554812986]","[0.18742533054225644, 0.6348407377229972, 0.8640114040874051, 0.35409536496471405]"
123,-156074.671875,-152952.015625,,"[0.6310576591206069, 0.3155689882717705, 0.8372561828594252, 0.33120422261718924]","[0.11590285918954964, 0.6034908470936442, 0.7792218219199065, 0.3477414813945963]"
124,-156434.9375,-153554.53125,,"[0.6250891796740483, 0.38285378394115416, 0.8938335179376337, 0.29537519333814377]","[0.16445307105704488, 0.6098795460340243, 0.7824980587395642, 0.2923477238296354]"
125,-170200.609375,-166692.140625,,"[0.7788724485607823, 0.3252973456652916, 0.7968191073787346, 0.3319398163912139]","[0.13072658613618182, 0.5586023888650551, 0.8788682796880856, 0.37192921387531674]"
126,-196276.578125,-192117.03125,,"[0.7077090403381623, 0.29323048782815964, 0.8205971098511613, 0.2811519478172865]","[0.0635635080107148, 0.5992386471928723, 1.0, 0.34807549933785187]"
127,-200863.484375,-197128.109375,,"[0.6798305995552254, 0.3542177120784369, 0.7817571210585889, 0.3609957256163256]","[0.12586475013511125, 0.6176115164393695, 0.860847284735839, 0.29805805587788614]"
128,-167206.765625,-168914.125,,"[0.7073464739859128, 0.3297739153531028, 0.898541667502373, 0.25584872434580824]","[0.13084993881886553, 0.5622461015954547, 0.8788446519767218, 0.3013543768449411]"
129,-162756.984375,-157241.1875,,"[0.6861358565771811, 0.25147246372212906, 0.8897273891730559, 0.2399003605906693]","[0.093847862478575, 0.6049694875270065, 0.8850657095996426, 0.32868292273792155]"
130,-182430.484375,-178301.265625,,"[0.5445651528508474, 0.37279164347640686, 0.8479185335327477, 0.32862589755847593]","[0.16759863483775672, 0.6032084082844159, 0.8225505055476404, 0.42273809110339505]"
131,-208935.515625,-204592.09375,,"[0.6435484758748338, 0.4453365410508292, 0.7938618890614227, 0.2595338351662023]","[0.06969191087927412, 0.5504366741766255, 1.0, 0.3210818474516784]"
132,-204245.3125,-200264.578125,,"[0.668791087370326, 0.35139441694652973, 0.8432809494736866, 0.22977449552060256]","[0.15714931393583967, 0.5753325965556311, 0.893182906463197, 0.3157242319220773]"
133,-177308.578125,-179041.9375,,"[0.7078006340021128, 0.3951427892116798, 0.9602905552183759, 0.32339597463243536]","[0.07765871555755334, 0.5815308101060288, 0.8738096118222692, 0.3707834667204926]"
134,-185694.546875,-181975.828125,,"[0.7000498972751611, 0.3480643188604349, 0.883268959871943, 0.3975303215790069]","[0.08513114672111305, 0.5898765063255489, 0.9468220984278429, 0.2668401210461575]"
135,-188645.40625,-184847.265625,,"[0.6089881905284927, 0.3729794424888753, 0.8580319899291271, 0.35434603575452583]","[0.15210482937015138, 0.5372065002284582, 0.8786315457414163, 0.3487652957577837]"
136,-203093.828125,-195553.875,,"[0.7087162089754361, 0.33216605747545774, 0.85066742044388, 0.31715402986145136]","[0.04979195050569289, 0.5843920372581823, 0.897636975817413, 0.3275983433097616]"
137,-151891.5625,-153315.78125,,"[0.639488068233998, 0.3586460728326962, 0.8376607377146758, 0.30521471811199224]","[0.16485038478334443, 0.6355478384639619, 0.8955806757285316, 0.3046998806943473]"
