game,loss_red,loss_blue,win_rate,weights_red,weights_blue
1,0.010207273066043854,0.010836188681423664,,"[0.6214990292321891, 0.29378970931551474, 0.7492592411475871, 0.3330700466750962]","[0.14461784480269105, 0.6431376479489375, 0.7424415286555969, 0.3258702916001482]"
2,-893.3167114257812,-924.5297241210938,,"[0.6076367327926534, 0.3141018707777793, 0.6093634712271654, 0.33687229969617805]","[0.12459801374357977, 0.7498196430456503, 0.8070614132595635, 0.3764468764356173]"
3,-4522.06494140625,-4645.384765625,,"[0.684782972460392, 0.30543998174458187, 0.8063673130941051, 0.19809972124321062]","[0.052020937575818896, 0.5755904470259926, 0.7610854854210709, 0.29206327296327206]"
4,-7840.287109375,-8043.04638671875,,"[0.6998737973198647, 0.27571993408620216, 0.7227146335616882, 0.2860499104542041]","[0.054038631346499985, 0.5088515576714792, 0.8102919333194551, 0.23119213739560543]"
5,-13664.5615234375,-13775.4140625,,"[0.6791561703596402, 0.3908573765776034, 0.6674408876043726, 0.3427835222595001]","[0.04107371862932571, 0.5281001031560175, 0.8064701267085002, 0.35440100725162355]"
6,-18258.3359375,-18724.119140625,,"[0.6309133205538469, 0.3459362578995684, 0.7685018651611457, 0.18147847076584556]","[0.11473634872306317, 0.5586271200538399, 0.7312927429918878, 0.41997119029648355]"
7,-203.06285095214844,-212.45159912109375,,"[0.6749660583849878, 0.31756797079756754, 0.7634155755494781, 0.18091200250093364]","[0.14890719694931728, 0.6216373105691013, 0.743718926582469, 0.33171768869231033]"
8,-6443.08251953125,-6628.66552734375,,"[0.6593833035501471, 0.382621790534507, 0.7641518489463605, 0.29219312562665134]","[0.1658193163798714, 0.671502040180985, 0.7689794731890852, 0.31192629537356736]"
9,-4031.01806640625,-4262.021484375,,"[0.6007277583343406, 0.3410321024826011, 0.7453761582458912, 0.34237929970005865]","[0.12203380409280348, 0.6184732653784101, 0.7680569513575304, 0.4229025846473025]"
10,9493.251953125,9913.369140625,,"[0.732608869504302, 0.39808530794497127, 0.7763350669774877, 0.30133976958367653]","[0.0, 0.5995907975155522, 0.7993639283548185, 0.326753972928094]"
11,12633.8271484375,13280.8173828125,,"[0.6647702978965266, 0.3674971428821899, 0.7174107202008704, 0.2889946389371247]","[0.013892321197456078, 0.6816198581030893, 0.733867180326183, 0.29139769275916794]"
12,1131.867431640625,1139.3717041015625,,"[0.5712368710541474, 0.4196874916577282, 0.7791798171756139, 0.21288741731273791]","[0.11045752122136483, 0.6504913747919697, 0.7818963135267476, 0.37024424192650174]"
13,3856.33251953125,4056.321044921875,,"[0.7077290244295036, 0.33815867413128314, 0.7726294693679197, 0.3499078195043526]","[0.1432877599104494, 0.6552898008683398, 0.8106168204249842, 0.233693694885806]"
14,22953.197265625,23922.771484375,,"[0.6906451284426153, 0.31558270015876305, 0.7079503239477124, 0.3105394367680363]","[0.08943507967379113, 0.7038104199467228, 0.772509902879459, 0.3673142913220172]"
