move,progress,norm_mob,norm_cent,norm_doubles
0,0.0,0.0,0.0,0.0
1,1.0,-0.075,0.0,0.0
1,-1.0,0.075,0.0,0.0
2,0.0,-0.027777777777777776,0.015625,0.0
2,0.0,0.027777777777777776,-0.015625,0.0
3,1.0,0.0,-0.015625,0.0
3,-1.0,0.0,0.015625,0.0
4,-1.0,0.20454545454545456,0.015625,0.75
4,1.0,-0.20454545454545456,-0.015625,-0.75
5,1.0,0.14516129032258066,-0.015625,0.3
5,-1.0,-0.14516129032258066,0.015625,-0.3
6,1.0,-0.22413793103448276,0.015625,-0.4444444444444444
6,-1.0,0.22413793103448276,-0.015625,0.4444444444444444
7,1.0,0.1346153846153846,0.015625,0.4444444444444444
7,-1.0,-0.1346153846153846,-0.015625,-0.4444444444444444
8,0.0,-0.11320754716981132,-0.015625,-0.18181818181818182
8,0.0,0.11320754716981132,0.015625,0.18181818181818182
9,2.0,-0.044444444444444446,0.03125,-0.5
9,-2.0,0.044444444444444446,-0.03125,0.5
10,-1.0,-0.023809523809523808,-0.015625,0.5
10,1.0,0.023809523809523808,0.015625,-0.5
11,3.0,-0.28125,0.03125,-0.8
11,-3.0,0.28125,-0.03125,0.8
12,-2.0,0.25806451612903225,-0.046875,0.8
12,2.0,-0.25806451612903225,0.046875,-0.8
13,2.0,0.23529411764705882,0.046875,0.3076923076923077
13,-2.0,-0.23529411764705882,-0.046875,-0.3076923076923077
14,0.0,-0.4318181818181818,-0.046875,-0.8888888888888888
14,0.0,0.4318181818181818,0.046875,0.8888888888888888
15,2.0,0.32432432432432434,0.046875,0.8333333333333334
15,-2.0,-0.32432432432432434,-0.046875,-0.8333333333333334
16,-2.0,0.10606060606060606,-0.046875,0.05555555555555555
16,2.0,-0.10606060606060606,0.046875,-0.05555555555555555
17,6.0,-0.14035087719298245,0.015625,-0.25
17,-6.0,0.14035087719298245,-0.015625,0.25
18,-2.0,0.0784313725490196,-0.03125,-0.125
18,2.0,-0.0784313725490196,0.03125,0.125
19,4.0,-0.03773584905660377,0.03125,0.125
19,-4.0,0.03773584905660377,-0.03125,-0.125
20,-2.0,-0.02,-0.015625,-0.1
20,2.0,0.02,0.015625,0.1
21,6.0,-0.13953488372093023,0.015625,-0.5
21,-6.0,0.13953488372093023,-0.015625,0.5
22,-2.0,0.05128205128205128,-0.015625,0.25
22,2.0,-0.05128205128205128,0.015625,-0.25
23,4.0,0.0,0.015625,-0.16666666666666666
23,-4.0,0.0,-0.015625,0.16666666666666666
24,0.0,-0.05405405405405406,-0.03125,-0.6666666666666666
24,0.0,0.05405405405405406,0.03125,0.6666666666666666
25,4.0,0.0,0.0,0.0
25,-4.0,0.0,0.0,0.0
26,-3.0,-0.03125,0.0,0.0
26,3.0,0.03125,0.0,0.0
27,4.0,0.12121212121212122,-0.015625,0.6666666666666666
27,-4.0,-0.12121212121212122,0.015625,-0.6666666666666666
28,-3.0,-0.06896551724137931,0.03125,0.0
28,3.0,0.06896551724137931,-0.03125,0.0
29,4.0,0.10714285714285714,-0.015625,0.0
29,-4.0,-0.10714285714285714,0.015625,0.0
30,-3.0,-0.06896551724137931,0.015625,0.6666666666666666
30,3.0,0.06896551724137931,-0.015625,-0.6666666666666666
31,4.0,0.03571428571428571,-0.015625,-0.6666666666666666
31,-4.0,-0.03571428571428571,0.015625,0.6666666666666666
32,-3.0,0.06896551724137931,0.0,0.6666666666666666
32,3.0,-0.06896551724137931,0.0,-0.6666666666666666
33,4.0,-0.07407407407407407,-0.015625,-0.6666666666666666
33,-4.0,0.07407407407407407,0.015625,0.6666666666666666
34,0.0,0.038461538461538464,0.015625,0.0
34,0.0,-0.038461538461538464,-0.015625,0.0
35,1.0,-0.038461538461538464,-0.015625,0.0
35,-1.0,0.038461538461538464,0.015625,0.0
36,0.0,0.07407407407407407,0.0,0.0
36,0.0,-0.07407407407407407,0.0,0.0
37,1.0,-0.08,0.0,0.0
37,-1.0,0.08,0.0,0.0
38,0.0,0.041666666666666664,-0.015625,0.0
38,0.0,-0.041666666666666664,0.015625,0.0
39,0.0,0.05,0.03125,0.0
39,0.0,-0.05,-0.03125,0.0
40,1.0,-0.1875,-0.03125,0.0
40,-1.0,0.1875,0.03125,0.0
41,-1.0,0.08333333333333333,0.03125,-0.5
41,1.0,-0.08333333333333333,-0.03125,0.5
42,2.0,-0.27586206896551724,-0.015625,0.5
42,-2.0,0.27586206896551724,0.015625,-0.5
43,-1.0,0.3448275862068966,0.015625,0.0
43,1.0,-0.3448275862068966,-0.015625,0.0
44,2.0,-0.3448275862068966,-0.015625,0.0
44,-2.0,0.3448275862068966,0.015625,0.0
45,-1.0,0.32142857142857145,0.015625,0.0
45,1.0,-0.32142857142857145,-0.015625,0.0
46,2.0,-0.32,-0.015625,0.0
46,-2.0,0.32,0.015625,0.0
47,-2.0,0.20588235294117646,0.015625,0.0
47,2.0,-0.20588235294117646,-0.015625,0.0
48,3.0,-0.28125,-0.03125,0.0
